rating,thumbs_up,review_description,joy,positive,fear,negative,sadness,anticipation,disgust,anger,trust,surprise
5,0,"Still loving it!, the best!",1.0,1.0,,,,,,,,
5,0,Convenient one stop app for all your passwords. Lock in with the app pw and update your other apps pws. Allows backup file to be created so that it can be used on your backup phone as well.,1.0,2.0,,,,,,,,
5,0,"Tried several password managers until I came across this one. it dies everything I need to store my passwords safely. No complications like the big name managers. I tried a bunch of those, and they were a waste of tme. And expensuve. For most people, this is all you need.",,1.0,1.0,2.0,1.0,1.0,1.0,,,
5,0,Ok thank you,,,,,,,,,,
1,0,"switched phones and none of my passwords came over to new phone, very upset.",,,,1.0,1.0,,,1.0,,
4,1,I like the simplicity of this app. It does what I want without complex steps. Stores basic details for all your user details in one place.,,1.0,,,,1.0,,,,
5,0,"Excellent, secure and easy to use app. Please keep unlimited saves free, watching ads are worth it and there's not too many of them. Another app which I was using now only lets you save 5 on free version, ONLY because it is made by a well known and more established cyber security company that's been around for decades on PC. I'm assuming a few other more well known ones will be doing the same but this is just as secure as any of them. Love the thumbprint login feature too for quicker access.",4.0,7.0,1.0,,,1.0,,,4.0,
5,0,"Love this App. It's simple, secure, and great especially so you can access your Password's even if you're away from Wifi.",1.0,1.0,,,,,,,,
4,0,good app,1.0,1.0,,,,1.0,,,1.0,1.0
5,0,Easy to use and great for storing passwords. Good security.,1.0,2.0,,,,2.0,,,1.0,1.0
5,0,Great,,,,,,,,,,
4,1,Only wish the app would autopilot and details visible without clicking on edit.,,,,,,,,,,
5,0,Gote,,,,,,,,,,
1,1,Still I Want An Update This Is Not A Safe App Without A Recovery For Password And Email Because Sometimes They Banned Me Without Any Better Reason,1.0,3.0,,1.0,,,,,1.0,
5,0,Good,1.0,1.0,,,,1.0,,,1.0,1.0
5,0,"Great app, been using ot for a few years now and never had any issues. East to use and easy to sync passwords to each device.",,,,,,,,,,
3,0,Good,1.0,1.0,,,,1.0,,,1.0,1.0
5,9,"I've been using this app for years, and I absolutely love it. I love that we can finally send a backup to another source, so I don't have to keep downloading it and adding my passwords every time I switch phones.",3.0,3.0,,,,2.0,1.0,,1.0,1.0
4,3,Easy to use. Great having to remember only one password. It needs to have more categories for easier queries.,,,,,,,,,,
5,0,Love your app😘😘😘😘,1.0,1.0,,,,,,,,
5,0,Faina aplicația. E simplă și are tot ce am nevoie. Imi place că pot sa pun icoane personalizate si ca am auto backup,,,,,,,,,,
5,0,Very good,1.0,1.0,,,,1.0,,,1.0,1.0
5,5,Great app. Nice to have: Copy and paste without edit or direct auto fill of password.,,,,1.0,,,,,1.0,
5,0,Love this application,1.0,1.0,,,,,,,,
1,1,I downloaded this app so I wouldn't have to guess and make up one!! The very first thing I have to do with this when I open it is MAKE UP A PASSWORD!!!,,,,,,,,,,1.0
5,0,Excellent,1.0,1.0,,,,,,,1.0,
5,5,"Been using for several years and I still love it!!! Easy to use, convenient, it's exactly what I needed one place to put all those irritating passwords that have to be changed every time I turn around. --- One app that hasn't changed in a long list of installs and uninstalled...this has stood the test of time.",1.0,2.0,2.0,,,4.0,,,,
5,2,"Hello, can you please tell me how to recover the login password...I am totally locked out as I cant login and access other passwords. Thanks great work.",,,,,,,,,,
5,1,"Easy, user friendly & what i like the most, backup files can be saved in various ways",2.0,2.0,,,,1.0,,,2.0,
5,0,Great for saving password,1.0,1.0,,,,,,,1.0,
3,10,The initial problem of downloading my backup has been resolved though had a few issues that I managed to sort So I wanted a paper print out as I want to review and change some passwords but what used to be a 6 page print out is now 28+ pages as the conversion to PDF includes all the tags several times over plus some other data it did not used to this happens on both phones so is not a phone issue. Otherwise I am impressed get this bug squashed and I will buy the full version.,,4.0,3.0,2.0,1.0,2.0,1.0,,1.0,
5,0,Super useful! Not a single complain at all.,,,,1.0,1.0,,,1.0,,
5,0,Great,,,,,,,,,,
5,0,Really useful,,,,,,,,,,
5,0,Fantastic!,,,,,,,,,,
5,0,"The update threw me for a loop, but otherwise this app is a lifesaver.",,,,,,,,,,
1,1,Do not install this app no support won't even respond to texts installed password option to manager pass it has locked me out after first time using that feature It seems I am stocked Writing this in hope someone sees it and maybe I get help Just discovered have no option to send this review,1.0,4.0,,,,4.0,,,1.0,1.0
4,0,I love this ap. All of my passwords in one place.,1.0,1.0,,,,,,,,
1,0,This app lost all my stored passwords one day it was fi e the next nothing.....,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
5,0,I like it!,,,,,,,,,,
2,3,EDIT Used for years but now won't back up and no response from reports 😡 Brilliant app... nice clear appearance. Love it that can match icons and make own categories. So useful to have to hand. Thank you xx,2.0,2.0,,,,2.0,,,1.0,
5,0,"This is a ""Very Good"" appt for password storage. I use it quite frequent.",1.0,1.0,,,,1.0,,,1.0,1.0
3,0,Nice app. Wish I could share the data with my other devices,1.0,1.0,,,,1.0,,,1.0,
3,0,I just started using this app so I'm not going to give it 5 stars yet . But let's see hopefully this one will work out. JMM,1.0,1.0,,,,2.0,,,1.0,
5,0,Great,,,,,,,,,,
5,1,Thank you so much ❤️ have a great day,,,,,,,,,,
5,0,Okay so far!🇺🇸🇺🇸 future now greatest thing I've seen 🙌 👏/saved me!!!🇺🇸🇺🇸🐕‍🦺,1.0,1.0,,,,,,,1.0,
2,0,. No way to import passwords.,,,,,,,,,,
5,6,Saves my all password with just 1 password. I'm using it from a year ago and it's still super useful.,1.0,1.0,,,,,,,1.0,
5,1,Great app I have used it for years and thankful it does the job well,1.0,2.0,,,,,,,,
5,1,"Very good application, easy to use",1.0,1.0,,,,1.0,,,1.0,1.0
1,19,"Warning do not install. If you ever want to change your phone. App developers are not responding , leaving feedback/issues through the app does not work and backing up or restoring of data is no longer supported",,,2.0,2.0,1.0,2.0,,,1.0,2.0
1,7,"Hi wont restore from my google drive Says "" password manager requires one or more google play services that are not currently available. Please contact the developer for assistance"" I've never had this issue before. Please help, when I try to get help says no internet connection",,2.0,,,,1.0,,,,
4,0,Good,1.0,1.0,,,,1.0,,,1.0,1.0
5,0,Update App please.,,,,,,,,,,
5,0,Very helpful app,1.0,1.0,,,,,,,1.0,
5,3,I love this app! It's so easy to use & no complex icons in the password setup features. Still loving it.,2.0,3.0,,,,,,,,
4,31,"I'm having problem to backup all passwords to Google drive. Error message says: password manager requires one or more Google play services. Please contact the deleveloper. I have backed up all passwords to my Google drive several times earlier, but now I can't. Please provide me a solution. Also I tried to use the option ""report an issue"" from the app inside, which too doesn't work saying ""something went wrong, check your internet connection"", although internet was working.",,4.0,1.0,3.0,2.0,1.0,,,1.0,
5,0,Simple to use and effective.,,1.0,,,,,,,1.0,
4,0,Best password app yet!,,,,,,,,,,
5,0,Works well,,,,,,,,,,
5,0,"Great app, easy to use",,,,,,,,,,
5,0,Easy,,,,,,,,,,
5,2,I keeps me in order. I love it and have recommend that my daughter use it.,2.0,3.0,,,,,,,1.0,
5,0,Great app for keeping track of the many password changes to the different apps,,,1.0,,,1.0,,,,
4,7,This app has been a life saver. Having so many passwords to keep up with can be difficult but this app allows me to keep all of them in one spot.,,,1.0,,,,,,,
5,0,I love it,1.0,1.0,,,,,,,,
5,0,Great app!,,,,,,,,,,
5,1,It easy and so fare works,,,,,,,,,,
4,0,Very good apps,1.0,1.0,,,,1.0,,,1.0,1.0
5,0,Just the best,,,,,,,,,,
5,5,Love this app!!! Just don't forget your password!! It's so well protected your the only one who can open your information .,1.0,3.0,,1.0,,,,,,
5,0,good,1.0,1.0,,,,1.0,,,1.0,1.0
5,0,Excellent app.,1.0,1.0,,,,,,,1.0,
5,1,The best password manager I've used so far 😊,,,,,,,,,,
4,2,Easy to use. Great off-line app.,,,,,,,,,,
5,2,Keeps me organized and avoids pulling my hair out! Recommended by an IT friend.,1.0,4.0,1.0,1.0,,,,,2.0,
5,3,Awesome,,,,,,,,,,
5,2,Has some Icons. Doesn't have MeWe Social Network icon 🤔. Secure. I'm happy 😊.,1.0,1.0,,,,2.0,,,1.0,
4,1,good,1.0,1.0,,,,1.0,,,1.0,1.0
5,2,easy to use,,,,,,,,,,
5,5,Convenient pw storage. Just a master pw to keep app safe. Also backup to cloud drive.,1.0,3.0,,,,,,,1.0,
5,11,"Secure 🔐. Works perfectly. I was able to recover my data after multiple bootloader failures! The only feature I would like to have is, customizable icons - Create my own standard icons. e.g. Specific icons unique to my country.",1.0,3.0,,,,,,,,1.0
5,2,Easy t manage,,1.0,,,,,,,1.0,
4,14,Very good app. I just need to know what happens if I loose my phone? How do get my info back in secure mode??,1.0,1.0,,,,2.0,,,1.0,1.0
5,1,Great .. I use it all the time !,,,,,,1.0,,,,
5,2,"Great app, easy to use. I have no issues",,,,,,,,,,
5,15,Easy to use. Previously I was able to restore my backup data multiple times due to bootloader failures on my LG-G3. This is a must for all smartphone. I've lost data so many times before. Transferring my data to my current phone was a simple and easy. Excellent job! Thank you so much...Very happy with the new feature. Fingerprint scan is very nice!,2.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0
5,2,I really recommend this app.. it's a nice app ever that we could use.. very organized for account to keep your password and email with matching icon that reflects to the account that related to.. so useful and manageable.. its better to organized with style but simply.. I love it!!!!,1.0,4.0,,,,,,,3.0,
4,1,Is this app available on my laptop?,,,,,,,,,,
1,1,"Loved the app for awhile but recently it has wiped all my passwords twice. 
You don't get a third strike with me. Uninstalling because I can't trust 
this app.",1.0,1.0,,1.0,,,,1.0,1.0,
5,1,"This is the easiest security app I have found. It makes storing passwords 
simple.",,1.0,,,,1.0,,,,
5,1,Good quality easy to set up and use,1.0,1.0,,,,1.0,,,1.0,1.0
5,2,Easy to use and handy.,,1.0,,,,,,,,
5,1,Love this app! This is my life in one little app,1.0,1.0,,,,,,,,
5,4,Easy to use. Simple storage for passwords. Probably not for everyone. But perfect if you just want a single source for your passwords without all the exotic features.,1.0,3.0,,,,1.0,,,1.0,
5,6,"I tried MANY apps before I FINALLY found one that was conducive to my needs.  I am not familiar with all of the apps feature, however, I am happy with what I presently see.  I don't want an upgrade to PRO feature as the current is sufficient.  Thanks",2.0,6.0,,,,2.0,1.0,,3.0,1.0
5,1,The app works as advertised.,,,,,,,,,,
5,1,Not too bad,,,1.0,1.0,1.0,,1.0,1.0,,
3,0,"Potentially a great app except for the following points which I could notice in the short period of use: 1. Does not REQUIRE an account - which means if anyone gets access to your phone, they can see your passwords! Unsecure, uhh? 2. Description doesn't give any idea about encryption of your data on the phone! 3. Sync to DropBox/GoogleDrive could be automated!",,,,,,,,,1.0,
5,2,"Does what it's supposed to do, easy to use. Very customizable. Can't find any negatives. Let's hope it stays that way.",1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0
5,3,Love this app. It's so clear and easy to se each password saved.,2.0,2.0,,,,,,,1.0,
5,7,Nice to have my passwords all in one place.,,,,,,,,,,
5,2,Great app!,,,,,,,,,,
5,2,Works great for my needs.,,,,,,,,,,
5,1,Ok good app...very safe and useful,2.0,2.0,,,,1.0,,,2.0,1.0
5,2,Good app. Easy to save all my information. Have been saver many times.,2.0,3.0,,,,2.0,,,2.0,1.0
4,0,"I like this app, just wish there was some way to recover all my passwords I had before i changed phones. I tried to find a backup and have been unsuccessful.",,,1.0,1.0,1.0,,,,,
5,0,Efficient and well designed,,1.0,,,,1.0,,,1.0,
5,1,Good one.,1.0,1.0,,,,1.0,,,1.0,1.0
4,4,Loving it so far. It was easy to load all my info and I really like the look of it. I gave it a 4 though because it doesn't have an auto lock. You have to log out for it to lock up again. Would love to see this security feature added.,2.0,3.0,,,,,,,,
4,2,Good app that stores my passwords and backup to Google Drive.,1.0,2.0,,,,2.0,,,1.0,1.0
5,1,Love the app,1.0,1.0,,,,,,,,
4,1,"When I retrieve stored information from Google drive, it becomes unrecognisable. How can it be possible to retrieve information the same as uploaded?",,3.0,,,,1.0,,,,
4,1,"While it does not auto-sync, it can store it's data on Google Drive and DropBox, so it can be accessed across all platforms. It also does lack an auto-close feature. Otherwise, a very useful app. I especially like the one click copy to clipboard, very handy! Also has a password generator, way cool! A few small tweeks, and this app would rock!",,5.0,,3.0,,1.0,,,,
4,2,"Does what I need it to do. Would like to see some sort of auto close option for app when phone sleeps or shuts down. Other than that, good app",1.0,2.0,,,,1.0,,,1.0,1.0
4,1,Great to store password,,1.0,,,,1.0,,,,
5,1,Awesome,,,,,,,,,,
4,3,Very 👍 nice app,,,,,,,,,,
5,3,It is easy to use and has a nice screen layout.,,,,,,,,,,
5,3,Very handy  No problems at all.,,1.0,,,,,,,,
5,9,"Simple and best password manager... Lovely UI and Icons... If the option to add more fields is given, then it can be used for many purposes... Keep up the good work...",2.0,3.0,,,1.0,2.0,,,2.0,2.0
5,4,It is nice and very well simple to use,,,,,,,,,,
5,2,Good done,1.0,1.0,,,,1.0,,,1.0,1.0
5,2,So far so Good,1.0,1.0,,,,1.0,,,1.0,1.0
5,3,Super and easy,,,,,,,,,,
5,0,Amazing,,,,,,,,,,1.0
5,2,Great Password Keeper! Easy to store and retrieve. Thanks so much for the work and dedication put into this app!!!,,2.0,,,,1.0,,,,
5,1,"Great app, simple to use.",,,,,,,,,,
5,2,Easy to use and flexible with good choice of icons to go with the passwords,1.0,2.0,,,,1.0,,,1.0,1.0
5,0,good,1.0,1.0,,,,1.0,,,1.0,1.0
3,2,I loved this while inputting my passwords.  Very easy to use.  But I never selected a security code and closed out the app. Now I cannot regain access. There is no option to recover account 😟,1.0,2.0,,,,,,,1.0,
3,2,I really loved this app until I had to do a factory reset and everything was lost. It was simple and easy to use.   Really wish it had a backup/restore feature. Now I need to look for a different app and type all my passwords again.  Not taking a chance of losing them so installing an app with backup/restore/sync.,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,,3.0
5,4,It's perfect just looks like a regular email list for sum1 forgetful like myself and its free a beautiful lil app,2.0,2.0,,,,1.0,,,1.0,
5,0,Good App,1.0,1.0,,,,1.0,,,1.0,1.0
5,2,Awesome app. Very easy to use and understand.,,,,,,,,,,
4,6,This good app but should have back up feature for the data stored.,1.0,3.0,,,,2.0,,,1.0,1.0
2,0,Sagarkumar,,,,,,,,,,
5,0,Simply amazing,,,,,,,,,,1.0
2,1,Like it,,,,,,,,,,
5,0,Love it,1.0,1.0,,,,,,,,
3,2,Usuful but without any login to restor if the program deleted,,,,,,,,,,
5,0,"Very nice, easy to work with, user friendly,  pleasing view",1.0,1.0,,,,1.0,,,1.0,
5,2,I think it's best apps I will give it 5 stars,1.0,1.0,,,,1.0,,,1.0,
3,2,"unfortunately, if in adding a new account you go to browser to copy the URL, you'll return to this password manager to find your email address and password are lost. The app doesn't keep them. So you've got to remember every detail in one go. I've looked at several other password managers and none had such a good interface as this. Simple, logical.  But the above shortcoming needs to be addressed.",1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0
4,0,Very good and user friendly app,2.0,2.0,,,,2.0,,,2.0,1.0
2,0,It's a little cartoonish for my taste.,,,,,,,,,,
5,0,I like this app. Great app,,,,,,,,,,
2,2,"When I downloaded this app my expectation was that i would be able to see a list of all my apps and i can set a password for whichever ones I choose, with email id for backup. But no matter where I navigate its asking me to login with email id repeatedly. None of my apps are being listed under any category. Not sure if its just me or this app does not have any help section for novice users. Will try figuring it around for a bit else will uninstall.",,1.0,,1.0,,1.0,,,,
4,1,"Simple and cute. I like that we can add a password to protect our info,  too.",,2.0,,,,,,,,
5,0,This app doesn't need even a single permission.,,1.0,,,,,,,,
5,1,This app is simple and visually pleasing. It allows a number of options for filtering apps based on their function and assigning icons to each app for easier identification. The whole app can be protected with a password as well. My only complaint is that the password isn't required every time you open the app as long as the app is still running in the background.,,1.0,,1.0,,2.0,,1.0,1.0,
5,1,Looks good so far,1.0,1.0,,,,1.0,,,1.0,1.0
5,0,Simple but effective,,1.0,,,,,,,1.0,
4,0,I like the recognizable icons for identifying seperate accounts.,,1.0,,,,1.0,,,1.0,
5,5,Colorful and pleasing to the eye.  Very simple to use.  I really appreciate that it doesn't ask for access to anything on your phone.  And there are no ads.  Very happy with this.,1.0,1.0,,,,1.0,,,1.0,
5,1,Love it,1.0,1.0,,,,,,,,
5,1,Awesome,,,,,,,,,,
